City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,saskylakh,71.9167,114.0833,-30.9,93,76,6.19,RU,1670380700
115,hambantota,6.1241,81.1185,24.19,100,20,2.57,LK,1670380700
116,hilo,19.7297,-155.09,25.85,85,20,4.12,US,1670380518
117,henties bay,-22.116,14.2845,12.92,93,21,1.19,NA,1670380701
118,jiblah,13.9216,44.1467,12.26,72,8,1.0,YE,1670380702
119,waipawa,-41.4122,175.5153,13.28,53,66,5.3,NZ,1670380702
120,pisco,-13.7,-76.2167,19.03,82,0,6.17,PE,1670380703
121,iquitos,-3.7481,-73.2472,22.02,100,75,1.03,PE,1670380704
122,clyde river,70.4692,-68.5914,-13.87,92,40,1.03,CA,1670380705
123,tuatapere,-46.1333,167.6833,20.07,46,60,3.29,NZ,1670380706
124,sao joao da barra,-21.6403,-41.0511,22.38,94,100,3.79,BR,1670380706
125,ngunguru,-35.6167,174.5,16.2,92,100,11.76,NZ,1670380707
126,avera,33.194,-82.5271,15.21,98,98,1.9,US,1670380637
127,itacarambi,-15.1022,-44.0919,20.48,88,72,0.95,BR,1670380708
128,muli,2.9167,73.5667,26.63,76,73,3.64,MV,1670380709
129,tiksi,71.6872,128.8694,-34.12,100,100,1.11,RU,1670380709
130,kerva,55.6117,39.5766,-9.47,73,44,3.63,RU,1670380710
131,mikumi,-7.4041,36.9831,22.32,81,80,2.05,TZ,1670380711
132,san cristobal,7.7669,-72.225,19.1,95,37,1.23,VE,1670380711
133,coari,-4.085,-63.1414,23.24,97,89,0.68,BR,1670380713
134,razdolinsk,58.4211,94.6658,-14.11,91,100,5.25,RU,1670380714
135,havelock,34.8791,-76.9013,17.74,90,40,3.6,US,1670380592
136,togur,58.3631,82.8265,-12.93,95,100,3.36,RU,1670380715
137,tura,25.5198,90.2201,20.75,63,44,0.62,IN,1670380479
138,batsfjord,70.6345,29.7185,1.96,100,100,5.14,NO,1670380716
139,klaksvik,62.2266,-6.589,2.51,73,100,11.03,FO,1670380716
140,amnat charoen,15.9167,104.75,25.26,64,39,7.9,TH,1670380717
141,tyssedal,60.1165,6.562,0.48,97,83,2.1,NO,1670380718
142,freeport,40.6576,-73.5832,13.88,89,100,4.63,US,1670380676
143,at-bashi,41.1702,75.8106,-11.59,87,94,0.57,KG,1670380719
144,ardesen,41.1911,40.9875,11.26,65,99,1.6,TR,1670380719
145,the valley,18.217,-63.0578,25.61,64,2,7.38,AI,1670380720
146,alyangula,-13.8483,136.4192,31.19,54,83,5.17,AU,1670380585
147,hasaki,35.7333,140.8333,14.05,41,36,3.0,JP,1670380721
148,sanming,26.2486,117.6186,14.38,81,99,1.23,CN,1670380464
149,chicama,-7.8447,-79.1469,17.3,83,72,2.14,PE,1670380722
150,road town,18.4167,-64.6167,26.05,66,8,7.72,VG,1670380722
151,thinadhoo,0.5333,72.9333,27.92,72,61,6.19,MV,1670380723
152,port-gentil,-0.7193,8.7815,26.08,81,100,3.99,GA,1670380723
153,saryozek,44.3583,77.9753,-11.66,89,79,1.43,KZ,1670380724
154,yar-sale,66.8333,70.8333,-18.22,92,41,3.43,RU,1670380724
155,gilgit,35.9221,74.3087,3.31,44,39,1.46,PK,1670380725
156,ambovombe,-25.1667,46.0833,24.75,76,88,2.38,MG,1670380725
157,prince rupert,54.3161,-130.3201,4.83,93,100,9.77,CA,1670380726
158,angoche,-16.2325,39.9086,25.12,86,26,3.85,MZ,1670380726
159,zhangye,38.9342,100.4517,-4.72,59,30,2.09,CN,1670380727
160,avarua,-21.2078,-159.775,25.03,88,100,5.66,CK,1670380727
161,buchanan,5.8808,-10.0467,25.28,87,31,1.78,LR,1670380728
162,vila velha,-20.3297,-40.2925,23.97,90,75,3.13,BR,1670380728
163,ancud,-41.8697,-73.8203,13.24,86,100,3.1,CL,1670380729
164,kalino,58.2504,57.6085,-17.03,98,95,1.64,RU,1670380729
165,dubbo,-32.25,148.6167,22.07,40,100,5.14,AU,1670380730
166,tiarei,-17.5333,-149.3333,29.01,78,15,7.26,PF,1670380730
167,vilyuysk,63.7553,121.6247,-20.37,98,100,2.97,RU,1670380731
168,kulhudhuffushi,6.6221,73.07,27.26,75,90,3.54,MV,1670380731
169,ilulissat,69.2167,-51.1,1.01,60,93,7.72,GL,1670380732
170,yulara,-25.2406,130.9889,36.79,19,9,2.66,AU,1670380554
171,yeppoon,-23.1333,150.7333,33.88,52,0,4.53,AU,1670380542
172,balikpapan,-1.2675,116.8289,29.55,70,20,2.06,ID,1670380647
173,grand-lahou,5.1367,-5.0242,25.42,88,73,3.42,CI,1670380733
174,nishihara,26.1842,127.7558,20.6,56,75,7.2,JP,1670380734
175,chara,56.9064,118.2631,-17.86,76,100,2.23,RU,1670380734
176,san quintin,30.4833,-115.95,14.15,73,0,4.71,MX,1670380508
177,kurilsk,45.2333,147.8833,2.33,58,100,4.67,RU,1670380735
178,san ramon,37.7799,-121.978,11.01,86,0,1.54,US,1670380450
179,cabedelo,-6.9811,-34.8339,25.37,81,8,4.7,BR,1670380736
180,talnakh,69.4865,88.3972,-9.64,96,100,5.23,RU,1670380737
181,nsanje,-16.92,35.262,24.19,82,34,1.44,MW,1670380737
182,aykhal,66.0,111.5,-19.85,97,100,8.57,RU,1670380738
183,saint-michel-des-saints,46.6834,-73.9159,0.52,99,100,0.98,CA,1670380485
184,loa janan,-0.583,117.095,29.08,74,58,1.47,ID,1670380738
185,codrington,-38.2667,141.9667,15.05,57,100,6.44,AU,1670380632
186,cockburn town,21.4612,-71.1419,26.21,57,47,9.21,TC,1670380739
187,hobyo,5.3505,48.5268,25.82,81,96,5.9,SO,1670380593
188,south yuba city,39.1166,-121.6391,10.94,82,0,1.54,US,1670380740
189,provideniya,64.3833,-173.3,-3.94,86,40,5.0,RU,1670380740
190,lively,46.4334,-81.1498,-4.99,96,100,1.95,CA,1670380741
191,samarai,-10.6167,150.6667,29.16,69,99,4.28,PG,1670380741
192,kantunilkin,21.0917,-87.45,19.94,90,3,1.3,MX,1670380742
193,currais novos,-6.2608,-36.5178,22.19,81,6,5.24,BR,1670380743
194,torbay,47.6666,-52.7314,1.99,97,100,4.12,CA,1670380506
195,saint-augustin,51.226,-58.6502,-5.62,91,68,2.28,CA,1670380518
196,los llanos de aridane,28.6585,-17.9182,20.86,97,20,4.63,ES,1670380744
